Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Imóvel Novo,"Avenida Isaura Roque Quércia, S/N - Loteamento Residencial Entre Verdes Sousas, Campinas - SP",1000,R$ 840.000,Pronto para morar,2552510655
Imóvel Novo,"Rua Piquete, 300 - Nova Campinas, Campinas - SP",73-121,R$ 800.068,Em construção,2557374751
Imóvel Novo,"Rua Anésio Lafayette Raizer, 156 - Loteamento Santa Ana do Atibaia Sousas, Campinas - SP",155-163,Sob Consulta,Na planta,2559471925
Imóvel Novo,"Avenida Aquidabã, 280 - Bosque, Campinas - SP",46,Sob Consulta,Na planta,2528358176
Imóvel Novo,"Rua Carlos Gerin - Jardim Chapadão, Campinas - SP",53-61,R$ 481.900,Em construção,2559180278
Imóvel Novo,"Rua Arquiteto José Augusto Silva, 1200 - Fazenda Santa Cândida, Campinas - SP",55-70,R$ 480.000,Em construção,2552512871
Imóvel Novo,"Rua Eduardo Lane, 200 - Jardim Brasil, Campinas - SP",79,Sob Consulta,Na planta,2528361021
Imóvel Novo,"Rua Azarias de Melo, 650 - Taquaral, Campinas - SP",98-216,Sob Consulta,Em construção,2512180694
Imóvel Novo,"Avenida Antônio Carlos Couto de Barros, 7 - Vila Sonia Sousas, Campinas - SP",450-1000,R$ 647.326,Em construção,2552406942
Imóvel Novo,"Rua Saulo de Carvalho Luz, 121 - Jardim Aurélia, Campinas - SP",87,R$ 835.000,Em construção,2552510225
Imóvel Novo,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-80,R$ 439.704,Na planta,2552505567
Imóvel Novo,"Rua Azarias de Melo, 650 - Taquaral, Campinas - SP",98-216,De R$ 799.000 até R$ 1.060.000 R$ 799.000,Em construção,2513807191
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 66 - Cambuí, Campinas - SP",89-91,De R$ 1.136.360 até R$ 1.278.099 R$ 1.136.360,Em construção,2528361690
Imóvel Novo,"Rua Santa Rita do Passa Quatro, 225 - Jardim Nova Europa, Campinas - SP",45-54,R$ 279.490,Na planta,2562703964
Imóvel Novo,"Rua Irajá, 233 - Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",155,R$ 2.362.758,Em construção,2570641654
Imóvel Novo,"Rua Irajá, 233 - Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",104,R$ 1.579.520,Em construção,2570640736
Imóvel Novo,"Rua Padre Almeida, 677 - Cambuí, Campinas - SP",170-345,De R$ 2.592.308 até R$ 6.733.476 R$ 2.592.308,Na planta,2565687812
Imóvel Novo,"Rua Severo Penteado, 111 - Cambuí, Campinas - SP",213-371,R$ 2.350.000,Em construção,2512182424
Imóvel Novo,"Rua Heitor Penteado, 1125 - Joaquim Egídio, Campinas - SP",600-1000,R$ 587.600,Em construção,2551530108
Imóvel Novo,"Rua Pastor Antonio Tiburtino da Silva, 490 - Jardim Ibirapuera, Campinas - SP",42-43,R$ 195.860,Pronto para morar,2529424091
Imóvel Novo,"Rua Barreto Leme, 2175 - Centro, Campinas - SP",256-392,R$ 4.103.800,Em construção,2512183708
Imóvel Novo,"Rua das Lantanas, s/n - Alphaville Dom Pedro, Campinas - SP",222-269,R$ 2.213.900,Em construção,2558203559
Imóvel Novo,"Rua Helena Steimberg, 597 - Nova Campinas, Campinas - SP",40-59,R$ 384.600,Em construção,2558197757
Imóvel Novo,"Rua Antônio Lapa, 118 - Cambuí, Campinas - SP",139,R$ 1.542.999,Em construção,2559177335
Imóvel Novo,"Avenida Barão de Itapura, 610 - Botafogo, Campinas - SP",36-47,De R$ 641.485 até R$ 823.586 R$ 641.485,Em construção,2565178166
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.357.656,Na planta,2559183777
Imóvel Novo,"Rua Anésio Lafayette Raizer, 157 - Vila José Iório, Campinas - SP",200,R$ 1.895.756,Pronto para morar,2562697266
Imóvel Novo,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,De R$ 1.377.800 até R$ 1.732.000 R$ 1.377.800,Em construção,2528355108
Imóvel Novo,"Avenida Dermival Bernardes Siqueira, 2075 - Swiss Park, Campinas - SP",91,R$ 695.000,Em construção,2512178263
Imóvel Novo,"Rua Doutor Antônio de Arruda Camargo, 225 - Nova Campinas, Campinas - SP",120-145,R$ 1.552.300,Em construção,2557364698
Imóvel Novo,"Rua Eduardo Lane, 200 - Jardim Brasil, Campinas - SP",80,R$ 650.000,Na planta,2529425128
Imóvel Novo,"Rua Baronesa Geraldo de Resende, 205/305 - Jardim Nossa Senhora Auxiliadora, Campinas - SP",36-57,R$ 372.830,Na planta,2551090691
Imóvel Novo,"Avenida Dermival Bernardes Siqueira, 2075 - Swiss Park, Campinas - SP",109,R$ 785.000,Em construção,2545328234
Imóvel Novo,"Rua Piquete, 300 - Jardim Itamarati, Campinas - SP",73-121,R$ 1.100.000,Na planta,2512182673
Imóvel Novo,"Rua Capitão Francisco de Paula, 125 - Cambuí, Campinas - SP",43-86,Sob Consulta,Em construção,2543021940
Imóvel Novo,"Rua Doutor Emílio Ribas, 314 - Cambuí, Campinas - SP",157-281,R$ 2.087.494,Na planta,2528359022
Imóvel Novo,"Rua Maria de Jesus Francisco, 33 - Jardim das Cerejeiras, Campinas - SP",56-107,R$ 330.000,Pronto para morar,2479463586
Imóvel Novo,"Rua Coronel Quirino, 982 - Cambuí, Campinas - SP",43-46,De R$ 610.300 até R$ 722.100 R$ 610.300,Na planta,2557909110
Imóvel Novo,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,R$ 1.309.000,Em construção,2557352719
Imóvel Novo,"Rua Barão Geraldo de Resende, 205 - Jardim Guanabara, Campinas - SP",36,R$ 359.130,Em construção,2565691888
Imóvel Novo,"Rua José do Patrocínio, 220 - Jardim Brasil, Campinas - SP",70-90,R$ 605.100,Em construção,2536570302
Imóvel Novo,"Rua Doutor Antônio de Arruda Camargo, 225 - Nova Campinas, Campinas - SP",120-184,De R$ 1.566.272 até R$ 2.198.778 R$ 1.566.272,Em construção,2536681224
Imóvel Novo,"Avenida Wellman Galvão de França Rangel, 4200 - Swiss Park, Campinas - SP",66,R$ 500.000,Em construção,2558763101
Imóvel Novo,"Avenida Oswaldo Von Zuben, 134 - Bairro das Palmeiras, Campinas - SP",91,R$ 750.000,Em construção,2536586697
Imóvel Novo,"Rua General Osório, 2240 - Cambuí, Campinas - SP",115-117,De R$ 1.481.000 até R$ 1.508.000 R$ 1.481.000,Em construção,2567825270
Imóvel Novo,"Rua Barão Geraldo de Resende, 205 - Jardim Guanabara, Campinas - SP",57,R$ 590.600,Em construção,2565689694
Imóvel Novo,"Rua João Pessoa, 128 - Jardim Rosana Sousas, Campinas - SP",200,R$ 1.910.000,Pronto para morar,2557897869
Imóvel Novo,"Avenida Isaura Roque Quércia, s/n - Loteamento Residencial Entre Verdes Sousas, Campinas - SP",1000-4850,R$ 775.000,Pronto para morar,2571775250
Imóvel Novo,"Rua Joaquim Novaes, 128 - Cambuí, Campinas - SP",111,R$ 1.377.800,Na planta,2552508159
Imóvel Novo,"Rua José Decourt Homem de Mello, 196 - Residencial Estancia Eudoxia Barao Geraldo, Campinas - SP",138,R$ 1.331.117,Em construção,2551527957
Imóvel Novo,"Rua Lauro Vannucci, s/n - Fazenda Santa Cândida, Campinas - SP",61-74,R$ 527.923,Em construção,2557886424
Imóvel Novo,"Rua Severo Penteado, 111 - Cambuí, Campinas - SP",213-371,R$ 2.350.000,Em construção,2551528470
Imóvel Novo,"Rua Doutor Antônio Sousa Campos, 183 - Cambuí, Campinas - SP",129-245,R$ 1.690.904,Pronto para morar,2559475053
Imóvel Novo,"Avenida Oswaldo Von Zuben, s/n - Parque da Hípica, Campinas - SP",91-165,R$ 750.000,Em construção,2557366772
Imóvel Novo,"Rua Doutor Emílio Ribas, 314 - Cambuí, Campinas - SP",157-281,R$ 1.860.000,Em construção,2552407484
Imóvel Novo,"Avenida Antônio Carlos Couto de Barros, 0 - Vila Sonia Sousas, Campinas - SP",450,Sob Consulta,Em construção,2536104074
Imóvel Novo,"Estrada Municipal Adelina Segantini Cerqueira Leite, 998 - Chácara São Rafael, Campinas - SP",400,Sob Consulta,Na planta,2559172722
Imóvel Novo,"Rua Padre Almeida, 677 - Cambuí, Campinas - SP",170-345,R$ 2.592.308,Na planta,2551089346
Imóvel Novo,"Rua Doutor Antônio Sousa Campos, 183 - Cambuí, Campinas - SP",129,R$ 1.622.999,Pronto para morar,2558192354
Imóvel Novo,"Avenida das Alamandas, s/n - Alphaville Dom Pedro, Campinas - SP",401,R$ 619.251,Na planta,2562696458
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, 119 - Fazenda Pau D'Alho, Campinas - SP",360,R$ 450.000,Na planta,2561545583
Imóvel Novo,"Rua Doutor Quirino, 779 - Centro, Campinas - SP",40-57,R$ 410.000,Em construção,2559163473
Imóvel Novo,"Rua Fernão de Magalhães, 160 - Parque Taquaral, Campinas - SP",150,R$ 1.174.000,Em construção,2565054584
Imóvel Novo,"Rua Maria Monteiro, 227 - Cambuí, Campinas - SP",172,R$ 2.434.200,Na planta,2536697592
Imóvel Novo,"Avenida Wellman Galvão de França Rangel, 4200 - Swiss Park, Campinas - SP",66-102,R$ 469.750,Em construção,2552504064
Imóvel Novo,"Rua Joaquim Novaes, 128 - Cambuí, Campinas - SP",111,De R$ 1.330.200 até R$ 1.633.700 R$ 1.330.200,Na planta,2529425531
Imóvel Novo,"Rua Artur de Freitas Leitão, 450 - Nova Campinas, Campinas - SP",222,R$ 2.530.000,Em construção,2559184673
Imóvel Novo,"Rua Valentin dos Santos Carvalho, 406 - Joaquim Egídio, Campinas - SP",600-1000,Sob Consulta,Em construção,2559173870
Imóvel Novo,"Rua Coronel Quirino, 972 - Centro, Campinas - SP",53-134,R$ 679.300,Em construção,2548499473
Imóvel Novo,"Avenida Antônio Carlos Couto de Barros, s/n - Vila Sonia Sousas, Campinas - SP",450-1000,R$ 567.000,Na planta,2571774012
Imóvel Novo,"Rua Doutor Antônio de Arruda Camargo, 225 - Nova Campinas, Campinas - SP",120-145,R$ 1.601.983,Na planta,2552502907
Imóvel Novo,"Avenida Doutor Hermas Braga, 36 - Nova Campinas, Campinas - SP",141-233,R$ 1.915.000,Na planta,2559177321
Imóvel Novo,"Rua Coronel Quirino, 972 - Cambuí, Campinas - SP",43-46,R$ 698.000,Em construção,2529653980
Imóvel Novo,"Avenida Wellman Galvão de França Rangel, 798 - Swiss Park, Campinas - SP",103-130,De R$ 1.173.860 até R$ 1.565.550 R$ 1.173.860,Pronto para morar,2512178260
Imóvel Novo,"Rua Alberto Carlos Dupas Valin, 215 - Vila Palácios, Campinas - SP",41,Sob Consulta,Na planta,2550900161
Imóvel Novo,"Rua Coronel Quirino, 982 - Cambuí, Campinas - SP",46,R$ 690.000,Em construção,2557374039
